epoch,ER,F1,dense_26_loss,dense_27_loss,dense_28_loss,loss
55,"""[0.5501084596311894, 0.5573137782488176, 0.48679806601457865]""","""[0.5757907659332009, 0.7149676679235203, 0.5892394765662502]""",0.44524979714055,0.4316448369593263,0.3335861627581189,1.2104808004874377
56,"""[0.5206073750452896, 0.5125434193313225, 0.48679806601457865]""","""[0.5931288890715005, 0.7173943730454873, 0.5892394765662502]""",0.4495168713380978,0.43031294912253193,0.3323317769086313,1.2121616030093805
57,"""[0.5318872015046042, 0.5148591275511929, 0.48679806601457865]""","""[0.5865719698631909, 0.7129032657833849, 0.5892394765662502]""",0.4490094987953507,0.42867083149749663,0.33112661733908133,1.208806946728828
58,"""[0.5336225594214219, 0.41142416039698027, 0.48679806601457865]""","""[0.5853521050496253, 0.7102798772992763, 0.5892394765662502]""",0.4460556745324699,0.42695760519045156,0.329969971860866,1.2029832506806868
59,"""[0.5344902383798307, 0.40254727888747693, 0.48679806601457865]""","""[0.5856982229674622, 0.7074510411489255, 0.5892394765662502]""",0.4444478537233439,0.42553225007992324,0.3289163015514459,1.1988964080810547
60,"""[0.5388286331718748, 0.3979158624477361, 0.48679806601457865]""","""[0.5811914416945597, 0.7075820182066628, 0.5892394765662502]""",0.44615926379268683,0.4243555055338018,0.3277977929584226,1.1983125606491063
61,"""[0.5431670279639189, 0.3983018138177145, 0.48679806601457865]""","""[0.5795262280976027, 0.706532883493979, 0.5892394765662502]""",0.4464219592175121,0.42355580143140614,0.32679142540969325,1.1967691892620629
62,"""[0.5188720171284721, 0.4010034734075633, 0.48679806601457865]""","""[0.5949566092131927, 0.7058818556001354, 0.5892394765662502]""",0.44638024530388953,0.4220203096829802,0.32586152751899705,1.1942620845847023
63,"""[0.5527114965064158, 0.39637205696782246, 0.48679806601457865]""","""[0.5745328363275215, 0.7071640549353408, 0.5892394765662502]""",0.446880482567454,0.4208219677056497,0.3249267289780289,1.192629176797425
64,"""[0.5440347069223277, 0.4071786953272178, 0.48679806601457865]""","""[0.5789034192574632, 0.7089230159008972, 0.5892394765662502]""",0.44632009341418233,0.41934097106283635,0.3240678343110387,1.1897288986858197
65,"""[0.5440347069223277, 0.38247780764859984, 0.48679806601457865]""","""[0.5793821162466372, 0.7063917011613504, 0.5892394765662502]""",0.44400320685611855,0.4186386023166181,0.3231937798211887,1.1858355884486569
66,"""[0.545336225359941, 0.37553068298898856, 0.48679806601457865]""","""[0.5791650525081609, 0.7068209819424419, 0.5892394765662502]""",0.44769912992224414,0.41729642978186193,0.3223855945640049,1.1873811550860136
67,"""[0.5501084596311894, 0.41142416039698027, 0.48679806601457865]""","""[0.5674413942901605, 0.705486228844895, 0.5892394765662502]""",0.44408952300380883,0.41634345848673476,0.32166387473875757,1.1820968555136364
68,"""[0.5353579173382396, 0.36395214188963637, 0.48679806601457865]""","""[0.5846065199112903, 0.6983420422225787, 0.5892394765662502]""",0.44501743823068357,0.4155392319458154,0.32088876196559735,1.1814454310685993
69,"""[0.5436008674431233, 0.3917406405280816, 0.48679806601457865]""","""[0.5751772262795904, 0.7049734651712475, 0.5892394765662502]""",0.444239335342296,0.41432459545926137,0.3202133739996529,1.1787773025178991
70,"""[0.5501084596311894, 0.3658818987395284, 0.48679806601457865]""","""[0.575152062013395, 0.7024742947622802, 0.5892394765662502]""",0.4431756515888707,0.41308233866083616,0.3195242949933444,1.1757822866914203
71,"""[0.5440347069223277, 0.336935545991148, 0.48679806601457865]""","""[0.580341889175241, 0.6901110522223544, 0.5892394765662502]""",0.4445771539872411,0.41267759424062916,0.31887755755562996,1.1761323097026164
72,"""[0.5514099780688027, 0.36549594736955004, 0.48679806601457865]""","""[0.5731702699531065, 0.6980675781038445, 0.5892394765662502]""",0.44341271831145485,0.41143813114155353,0.31824694257794006,1.1730977880266342
73,"""[0.5201735355660853, 0.3392512542110184, 0.48679806601457865]""","""[0.5933471671539713, 0.6910594773628393, 0.5892394765662502]""",0.4428138826798548,0.41098954212058947,0.31765911893002163,1.171462542742167
74,"""[0.5193058566076765, 0.35391740627019785, 0.48679806601457865]""","""[0.5928299174761246, 0.7014616512342771, 0.5892394765662502]""",0.44269623379491957,0.41023831903559604,0.31708538617455256,1.1700199345577234
75,"""[0.5475054227559629, 0.34040910832095367, 0.48679806601457865]""","""[0.5764018582571337, 0.6963208214357438, 0.5892394765662502]""",0.4427844654873073,0.40895530095844695,0.3166419211253226,1.1683816867531742
76,"""[0.5501084596311894, 0.35237360079028424, 0.48679806601457865]""","""[0.5746739631952743, 0.7034222572979365, 0.5892394765662502]""",0.4405016708435366,0.40796566219109,0.3161145144867992,1.1645818504352035
